Words;M V;SD V;N V;M A;SD A;N A;M P;SD  P;N P;M AoA;SD AoA;N AoA;Freq(Log10);Freq (1E6);Length;N (%);Grammatical category
machtig;4,52;1,14;64;5,23;1,08;64;5,98;1,12;64;7,42;2,28;32;1,09;12,19;7;0;A
madam;4,11;1,13;64;3,88;0,98;64;4,16;1,03;64;6,97;2,55;32;0,57;3,75;5;0;N
made;2,73;1,12;60;3,81;1,08;57;3,27;1,26;56;9,07;2,57;27;-0,1;0,8;4;10,3;N
magazine;4,66;0,76;64;3,2;1,2;64;3,97;1,1;64;8,42;2,28;32;0,47;2,93;8;0;N
mager;3,44;1,15;64;3,44;1,41;64;3,05;1,25;64;6,1;1,51;32;0,94;8,64;5;0;A
magisch;5,63;0,92;64;4,78;1,19;64;4,88;1,16;64;6,68;2,27;32;0,91;8,1;7;0;A
mail;4,55;0,83;64;3,59;1,29;64;3,94;1,14;64;9,84;2,68;32;0,53;3,36;4;0;N
majoor;4,22;0,75;63;4,33;1,2;64;5,29;1,31;63;8,77;2,8;32;1,72;52,8;6;0,9;N
mak;3,6;1,03;60;2,25;0,89;61;2,46;1,09;59;7,5;3,02;29;0,14;1,37;3;6,7;A
maken;4,67;0,8;64;4,94;0,87;64;4,27;1,03;64;5;2,1;32;2,98;957,27;5;0;V
makker;5,41;0,79;64;4,17;1,19;64;4,66;1;64;7,74;2,35;32;1,45;28,24;6;0;N
makreel;4,02;0,85;64;3,91;1,09;64;3,3;1,04;63;8,87;3,78;32;-0,34;0,46;7;0,4;N
mal;4,05;0,91;62;3,75;1,27;61;3,7;0,99;61;9,17;3,58;31;0,92;8,28;3;4;A
malen;3,7;0,81;64;4,84;0,85;63;4,05;1,03;64;8,26;2,34;32;0,69;4,89;5;0,4;V
mals;5,09;0,71;64;3,28;1,13;64;3,62;0,99;63;7,1;2,49;32;0,05;1,12;4;0,4;A
mama;5,88;1,05;64;4,44;1,42;64;4,86;1,22;64;2,03;0,95;32;2,31;206,45;4;0;N
man;4,7;0,83;64;4,17;1,23;64;4,91;1,06;64;3,9;1,47;32;3,15;1403,81;3;0;N
mand;4,13;0,45;64;2,97;1,14;64;3,52;0,91;64;4,87;1,69;32;0,63;4,3;4;0;N
mango;4,94;0,96;64;3,34;1,17;64;3,69;1,05;64;8,74;3,53;32;0,09;1,23;5;0;N
manier;4,34;0,57;64;3,73;1,01;64;3,98;0,95;64;6,39;1,82;32;2,41;257,4;6;0;N
manipulatie;2,48;1,07;64;5,19;0,85;64;5,36;1,26;64;10,94;2,94;32;0,23;1,69;11;0;N
manipulatief;2,38;1,03;64;4,94;1,3;64;4,7;1,8;64;11,35;2,51;32;-0,49;0,32;12;0;A
manipuleerbaar;2,53;0,89;64;4,03;1,38;64;2,83;1,8;64;10,68;3,07;32;-1,04;0,09;14;0;A
mank;2,58;0,89;64;3,23;1,23;64;2,8;1,25;64;7,48;2,66;32;0,41;2,58;4;0;A
mannelijk;4,91;0,85;64;4,78;1,21;64;5,25;0,93;64;6,87;2,54;32;0,8;6,36;9;0;A
mantel;4,38;0,65;64;3,34;1,14;64;3,78;1,05;64;6,32;1,87;32;0,66;4,62;6;0;N
map;4,13;0,42;64;3,02;1,08;64;3,72;0,93;64;5,42;1,5;32;0,66;4,53;3;0;N
marge;4;0,78;64;3,46;1,18;63;3,92;0,91;64;10,32;3,09;32;0,6;3,98;5;0,4;N
marginaal;2,78;1,08;63;3,74;1,38;62;3,48;1,55;62;11,1;3,56;31;-0,8;0,16;9;2,7;A
margriet;4,84;0,8;64;3,13;1,02;63;3,16;1,16;64;7,15;2,77;28;-0,94;0,11;8;2,2;N
markt;4,67;0,74;64;4,75;1,22;64;3,88;0,97;64;5,77;1,75;32;1,28;19,03;5;0;N
marmer;4,53;0,78;64;2,91;1,33;64;4,88;1,08;64;8,84;2,31;32;0,29;1,97;6;0;N
marmot;3,95;0,97;64;3,73;1,31;64;3,23;1,17;60;8,55;2,86;32;-0,36;0,43;6;1,8;N
mars;4,27;0,8;64;4,17;1,4;64;4,72;1,15;64;6,94;2,24;32;1,32;20,67;4;0;N
marteling;1,53;0,71;64;5,83;1,25;64;4,64;1,96;64;9,23;2,77;32;0,65;4,46;9;0;N
marter;3,91;0,86;44;4,5;1,24;46;4,14;1,27;44;8,95;4,3;20;-1,34;0,05;6;30,9;N
masker;3,41;0,89;64;3,39;1,2;64;3,8;1,3;64;4,97;1,62;32;1,28;19,23;6;0;N
massa;3,78;0,77;64;4,78;1,27;64;5,3;1,16;64;8,13;2,67;32;0,96;9,17;5;0;N
massief;4,25;0,85;64;3,55;1,37;64;5,56;1,04;64;9,74;2,95;32;0,3;2,01;7;0;A
mast;4,13;0,63;64;3,42;1,33;64;4,2;1,09;64;6,97;2,33;32;0,31;2,06;4;0;N
mat;3,75;0,71;64;2,64;1,13;64;3,38;1,02;64;6,58;3,2;32;0,56;3,59;3;0;N
match;4,75;0,84;64;5,09;1,29;64;4,57;1,1;63;7,9;2,18;32;0,55;3,57;5;0,4;N
materialistisch;2,95;0,95;64;4,16;1,25;64;3,86;1,49;64;11,23;2,83;32;-0,46;0,34;15;0;A
matig;3,5;0,82;64;3,19;1,05;64;3,2;0,82;64;7,97;2,4;32;0,03;1,07;5;0;A
matras;4,64;0,82;64;2,52;1,35;64;3,55;0,99;64;5,48;1,96;32;0,71;5,15;6;0;N
matrix;4,09;0,87;64;3,63;1,15;63;4,62;0,97;63;12,94;3,17;32;0,46;2,9;6;0,9;N
matroos;4,41;0,69;63;4,61;1,12;64;3,86;1,19;64;6,52;2,28;32;0,6;3,98;7;0,4;N
mauve;4,29;0,77;38;3,43;0,9;37;3,36;0,9;36;10,5;5,17;20;-0,49;0,32;5;41,3;A
mazen;3,56;0,88;54;3,75;1,19;55;3,69;0,98;55;9,77;3,39;27;-0,39;0,41;5;14,8;N
mazzel;5,55;0,92;64;4,03;1,31;62;4,02;1,36;63;8,87;3,05;31;1,21;16,08;6;1,8;N
medaille;5,5;1,04;64;4,44;1,62;64;5,06;1,28;64;6,48;1,41;32;1,01;10,18;8;0;N
medeleven;5,36;0,9;64;3,75;1,3;64;3,92;1,42;64;8,42;2,55;32;0,86;7,23;9;0;N
medelijden;3,45;1,31;64;3,61;1,22;64;3,19;1,34;64;7,87;2,46;32;1,46;28,54;10;0;N
medicijn;4,33;1,13;64;3,86;1,44;64;4,58;1,28;64;6,77;2,17;32;1,18;15,18;8;0;N
meedogenloos;2,41;1,05;64;4,8;1,44;64;5,03;1,72;64;9,87;3,16;32;0,62;4,18;12;0;A
meegaand;4,45;1,25;64;3,22;1,17;64;2,91;1,43;64;9,65;2,2;32;-0,16;0,69;8;0;A
meel;4,23;0,64;64;2,98;1,24;64;3,16;1,16;64;6,84;1,51;32;0,23;1,69;4;0;N
meer;4,48;0,84;64;3,8;1,17;64;4,36;1,1;64;4,74;1,79;32;3,31;2035,88;4;0;N/A
meerderwaardig;4,62;1,18;63;4,25;1,08;63;5,5;1,05;64;9,73;2,98;31;-1,64;0,02;14;1,3;A
mees;4,39;0,68;64;3,87;1,18;61;3,44;1,03;61;7;2,51;29;-0,94;0,11;4;4;N
meester;4,41;0,97;64;4,52;1,05;63;5,45;1,05;64;4,65;1,17;32;1,81;64,9;7;0,4;N
meet;4,13;0,38;62;3,68;1,16;60;3,95;0,84;62;7,37;2,03;31;0,61;4,05;4;4;N
meeuw;4,09;0,97;64;4,31;1,3;64;3,63;1,03;64;6,03;2,06;32;-0,19;0,64;5;0;N
meid;4,55;1,25;64;4,47;1,23;64;3,41;1,28;64;6,35;2,14;32;2,06;114,52;4;0;N
meisje;5,13;0,97;64;4,48;1,2;64;3,55;1,02;64;3,52;1,48;32;2,58;382,74;6;0;N
melancholie;3,1;1,28;63;3,19;1,32;63;3,44;1,48;61;12,23;3,36;31;-0,04;0,91;11;2,7;N
melden;3,94;0,66;64;4,56;0,94;64;4,28;0,86;64;7,48;2,5;32;1,43;27,12;6;0;V
melk;4,63;0,85;64;3,19;1,21;64;3,59;1,09;64;3,58;1,41;32;1,6;39,7;4;0;N
melken;4,31;0,79;64;4,58;1;64;3,78;1,06;64;5,65;1,47;32;0,37;2,33;6;0;V
melodie;5,39;0,81;64;4,25;1,4;64;4,22;1,16;64;7,19;2,21;32;0,48;3,04;7;0;N
meloen;4,81;0,96;64;3,11;1,2;64;3,66;1,04;64;6,23;2,12;32;0,3;2,01;6;0;N
menen;4,61;0,87;64;4,28;1,06;64;4,7;0,9;64;6,45;2;32;0,95;8,83;5;0;V
mengen;4,22;0,63;64;4,63;0,9;64;4,08;1,01;64;5,87;1,93;32;0,66;4,55;6;0;V
mens;4,75;0,85;64;4,75;1,32;64;4,94;1,34;64;4,45;1,77;32;2,16;144,66;4;0;N
menu;4,66;0,86;64;3,36;1,12;64;3,84;0,91;64;6,65;2,03;32;0,82;6,63;4;0;N
mep;2,59;0,68;64;5,38;0,77;64;5;1,1;64;5,74;1,65;32;0,66;4,53;3;0;N
meppen;2,58;0,75;64;5,63;0,85;64;4,75;1,23;64;6,42;1,93;32;0,43;2,68;6;0;V
merel;4,48;0,76;64;4,22;1,16;64;3,27;1,13;64;6,58;1,96;32;-0,86;0,14;5;0;N
merg;3,49;0,69;63;3,41;1,21;63;4,15;1,24;62;10,55;3,03;32;-0,16;0,69;4;1,8;N
merk;4,31;0,73;64;3,48;1,18;64;4,55;1,1;64;6,9;1,8;32;1,28;19,12;4;0;N
merken;4,23;0,71;64;4,22;1,09;64;4,39;1,06;64;7,03;2,34;32;1,35;22,5;6;0;V
merrie;4,56;0,89;64;4,42;1,19;64;3,94;1,28;62;7,71;2,25;32;0,43;2,72;6;0,9;N
mes;3,16;0,72;64;4,44;1,39;64;5,3;0,99;64;4,39;1,61;32;1,67;46,24;3;0;N
mest;3,03;0,82;64;3,28;1,24;64;3,95;1,12;64;6,52;1,88;32;0,39;2,45;4;0;N
metaal;3,92;0,51;64;3,27;1,35;64;5;1,1;64;7,06;2,05;32;0,98;9,54;6;0;N
meten;4,16;0,57;64;4,2;1,16;64;4,11;0,82;64;6,03;1,87;32;0,78;6,01;5;0;V
meter;4,25;0,71;64;3,34;1,14;64;3,83;0,9;64;5,45;1,98;32;1,89;76,88;5;0;N
metro;4,17;0,85;64;4,86;1,17;64;4,25;0,94;64;7,74;2,58;32;1,12;13,1;5;0;N
meubel;4,28;0,58;64;2,91;1,23;64;3,94;1,11;64;6,03;1,83;32;-0,69;0,21;6;0;N
meute;3,38;0,88;61;4,89;1,16;61;4,73;1,35;59;9,36;2,71;28;0;1,01;5;6,3;N
microscoop;4,22;0,72;64;3,33;1,36;64;4,34;1,25;64;9,55;2,43;32;0,28;1,92;10;0;N
middel;4,17;0,58;64;3,73;1,06;64;4,02;1,03;64;6,71;2,45;32;1,16;14,5;6;0;N
middelmatig;3,47;0,82;64;3,63;0,77;64;3,55;0,96;64;8,45;2,43;32;0,06;1,14;11;0;A
midden;4,22;0,49;64;3,58;0,97;64;3,94;0,69;64;5,61;1,8;32;1,67;47,29;6;0;N
mier;3,7;0,71;64;4,58;1,37;64;3,19;1,57;64;4,84;1,79;32;0,4;2,54;4;0;N
miezerig;2,59;0,75;64;2,95;1,01;64;2,25;1,09;63;8,83;2,83;31;0,08;1,21;8;0,9;A
mijden;2,81;0,61;64;4,42;1,15;64;3,09;1,32;64;8,26;2,18;32;0,26;1,81;6;0;V
mijl;4,03;0,53;64;3,89;1,04;64;4,13;0,93;64;8,61;2,89;32;1,19;15,32;4;0;N
mijn;3,59;1,18;64;4,19;1,34;64;4,8;1,06;64;6,1;3,02;32;3,64;4412,02;4;0;N
mijter;4,14;0,87;64;2,98;1,24;64;3,92;1,36;63;5,47;2,98;31;-0,53;0,3;6;0,9;N
mikken;4,14;0,66;64;4,78;0,94;63;4,2;0,95;64;6,42;1,54;32;0,43;2,7;6;0,4;V
mild;4,69;0,75;64;2,92;0,89;63;3,19;1,17;64;7,94;2,46;32;0,39;2,47;4;0,4;A
milieu;4,64;0,93;64;3,75;1,43;63;4,28;1,23;64;8,55;2,1;32;0,7;4,99;6;0,4;N
miljard;5,34;1,06;64;4,44;1,54;64;5,48;1,13;64;7,42;1,98;32;1,09;12,19;7;0;R
miljoen;5,28;1,03;64;4,5;1,64;64;5,36;1,2;64;6,81;2,36;32;2,12;132,59;7;0;R
milt;3,97;0,73;64;3,66;1,3;64;3,7;1,02;64;9,55;2,53;32;0,43;2,7;4;0;N
mime;4,38;0,9;61;3,65;1,37;63;3,53;1,2;60;10,26;3,29;32;-0,28;0,53;4;3,6;N
min;3,05;0,81;64;3,03;1,07;64;2,78;1,08;64;5,68;1,17;32;1,3;19,94;3;0;N
minachtend;2,17;0,77;64;3,86;1,3;64;3,59;1,67;64;9,97;2,85;32;-0,32;0,48;10;0;A
minachting;2,25;0,69;64;4;1,21;64;3,88;1,69;64;10,13;2,64;32;0,58;3,77;10;0;N
minderwaardig;2,09;0,81;64;3,23;1,22;64;2,47;1,47;64;9,45;2,73;32;0,13;1,35;13;0;A
minderwaardigheid;2,08;0,72;64;3,14;1,21;64;2,44;1,36;64;10,52;2,45;32;-1,16;0,07;17;0;N
mini;4;0,93;64;3,23;1,23;64;2,78;1,24;64;6;2,14;32;0,29;1,97;4;0;A
miniem;3,42;0,93;62;2,89;1,12;63;2,63;1,1;63;9,62;2,72;30;-0,18;0,66;6;2,7;A
minnaar;4,19;1,51;64;5,34;1,21;64;4,3;1,29;64;9,65;2,78;32;1,11;12,87;7;0;N
minuut;4,03;0,5;64;3,73;1,2;64;3,45;1,04;64;5,87;1,69;32;1,63;42,69;6;0;N
minzaam;3,36;1,44;61;3,32;1,03;63;3,21;1,2;61;10,97;3,36;31;-0,74;0,18;7;3,1;A
mis;3,13;0,88;64;3,05;1,3;63;3,36;1,38;64;5,1;1,42;32;2,34;219,69;3;0,4;N
misbruik;1,59;0,66;64;5,16;1,35;63;4,45;2,1;64;8,87;2,68;32;1,04;10,93;8;0,4;N
misdaad;2,08;0,91;64;5,59;0,92;64;4,94;1,44;64;7,58;2,45;32;1,64;43,22;7;0;N
misdadiger;1,94;0,99;64;5,48;1,04;64;5,05;1,52;64;7,55;2,35;32;0,87;7,34;10;0;N
misdrijf;1,91;0,79;64;5,63;0,98;64;4,66;1,55;64;8,06;2,63;32;1,06;11,41;8;0;N
miskraam;1,5;0,69;64;4,72;1,68;64;4,06;1,87;64;9,94;2,42;32;0,28;1,92;8;0;N
misleidend;2,33;0,74;64;4,36;1,16;64;4,13;1,43;64;8,71;2,67;32;0,01;1,03;10;0;A
mislukkeling;1,97;0,76;64;3,44;1,41;64;2,56;1,74;64;8,55;2,19;32;0,76;5,72;12;0;N
mislukking;1,88;0,75;64;3,89;1,43;64;2,61;1,65;64;7,65;2,4;32;0,71;5,17;10;0;N
mismaakt;1,84;0,93;64;3,66;1,34;64;2,97;1,47;64;9;2,46;32;-0,21;0,62;8;0;A
miss;4,43;1,13;60;4,27;1,05;63;4,02;1,25;59;9,39;2,64;31;1,21;16,33;4;4,5;N
misselijk;2,2;0,84;64;4,25;1,36;64;3,55;1,53;64;5,87;1,67;32;1,17;14,8;9;0;A
missen;2,81;0,97;64;4,23;1,39;64;3,48;1,39;64;5,87;1,82;32;1,93;85,39;6;0;V
mist;3,41;0,85;64;2,77;1,18;64;3,56;1,28;64;6,26;1,65;32;1,66;45,6;4;0;N
misvormd;2,06;0,77;64;3,47;1,43;64;3,3;1,51;64;8,71;2,12;32;0,23;1,72;8;0;A
mobiel;4,86;0,9;63;4,48;1,35;64;4,39;0,94;64;9,23;2,32;32;0,96;9,15;6;0,4;N/A
modaal;3,84;0,75;63;3,56;0,98;61;3,9;0,95;62;11,29;3,84;29;-0,8;0,16;6;4;A
modder;3,14;0,83;64;3,03;1,22;64;3,61;1,14;64;4,97;1,7;32;1,11;12,81;6;0;N
mode;4,91;0,9;64;3,88;1,19;64;4,16;1,22;64;8;1,9;32;1,04;11,02;4;0;N
model;4,92;0,9;64;4;1,32;64;4,25;1,07;64;7,77;2,35;32;1,31;20,24;5;0;N
modem;4,22;0,7;64;3,75;1,41;64;3,95;0,97;63;11,03;4,01;32;-0,14;0,73;5;0,4;N
modern;5,23;0,94;64;4,11;1,09;64;4,67;0,99;64;7,55;2,13;32;0,81;6,49;6;0;A
modieus;5,25;0,87;64;4,03;1,21;64;4,52;1,08;64;9,45;2,94;32;-0,02;0,96;7;0;A
moe;2,77;0,81;64;2,25;0,91;64;3,23;1,22;64;3,94;1,39;32;1,95;89,94;3;0;A
moed;5,7;0,89;64;5,19;0,96;64;5,28;1,23;64;7,35;2,3;32;1,61;41,05;4;0;N
moedeloos;2,27;0,9;64;2,7;1,15;64;2,78;1,34;64;10;2,74;32;-0,41;0,39;9;0;A
moeder;5,73;1,12;64;4,13;1,51;64;4,58;1,18;64;3,71;1,79;32;2,81;652,49;6;0;N
moederlijk;5,16;1,06;64;3,92;1,26;64;4,27;1,44;64;8,06;2,46;32;-0,44;0,37;10;0;A
moedig;5,8;0,95;64;5,34;0,96;64;5,45;1,17;64;7,23;2,49;32;1,28;18,84;6;0;A
moeilijk;2,8;0,69;64;4,25;1,23;64;4,5;1,28;64;5,35;1,58;32;2,32;207,21;8;0;A
moeizaam;2,62;0,58;63;3,41;1,47;64;3,17;1,06;64;8,48;2,41;32;0,07;1,17;8;0,4;A
moer;3,67;0,67;63;3,38;1,11;63;4,13;1,27;64;8,03;2,71;32;0,96;9,22;4;0,9;N
moeras;3,2;0,86;64;3,17;1,38;64;4,3;1,18;64;7,26;2,41;32;0,99;9,74;6;0;N
moes;3,83;0,61;63;3,16;1,12;63;3,1;1,38;62;6,23;2,13;31;0,38;2,4;4;2,2;N
moeten;3,06;0,71;64;4,86;0,99;64;4,53;1,7;64;4,29;1,57;32;3,25;1776,15;6;0;V
mogelijkheid;5,34;0,74;64;4,02;1,09;64;4,64;1;64;8,26;2,45;32;1,38;23,92;12;0;N
mogen;4,91;0,87;64;4,08;1;64;4;1,2;64;4,9;1,94;32;2,3;200,83;5;0;V
mok;4;0,56;64;2,89;1,1;64;3,83;0,9;64;6,93;2,71;30;0,05;1,12;3;0,9;N
moker;3,35;0,78;54;4,52;1,23;52;5,27;0,96;56;9,33;3,19;25;-0,12;0,75;5;16,6;N
mokka;4,42;0,99;64;3,19;1,23;63;3,94;0,99;64;9,39;3,12;32;-0,41;0,39;5;0;N
mokken;2,67;0,69;64;3,87;1,21;62;3,56;1,37;62;7,97;3,52;32;0,36;2,31;6;1,8;V
mol;3,69;0,96;64;3,45;1,39;64;3,2;1,17;64;5,13;1,45;32;0,88;7,55;3;0;N
molen;4,23;0,81;64;3,75;1,28;64;3,95;1,12;64;5,94;1,91;32;0,66;4,53;5;0;N
moment;4,31;0,69;64;3,68;0,91;63;3,89;0,93;64;6,42;2,42;32;2,4;253,97;6;0,4;N
monarch;3,88;1,01;60;3,63;1,25;60;5;1,33;60;12,24;2,29;30;-0,23;0,59;7;6,3;N
mond;4,44;0,83;64;4,17;1,11;64;4,06;0,96;64;3,58;1,46;32;2,22;165,93;4;0;N
mongool;2,44;1,04;64;4,09;1,29;64;3,19;1,61;64;8,29;2,44;32;0,25;1,76;7;0;N
monnik;4,08;0,95;64;2,58;1,1;64;3,41;1,33;64;7,61;2,17;32;0,77;5,95;6;0;N
monster;2,31;0,91;64;5,33;1,41;64;5,39;1,24;64;4,55;1,31;32;1,7;49,97;7;0;N
monter;5,11;0,82;54;4,68;1,03;53;4,65;0,97;49;10,2;2,8;25;-0,49;0,32;6;18,8;A
mooi;6,13;0,95;64;4,2;1,35;64;4,78;1,29;64;3,84;1,46;32;2,79;616,06;4;0;A
moord;1,38;0,81;64;6,19;1,15;64;5,45;1,89;64;7,84;2,31;32;2,15;141,99;5;0;N
moorden;1,33;0,67;64;6,39;0,81;64;5,56;1,72;64;7,65;2,06;32;1,66;45,28;7;0;V
mop;5,28;1,12;64;4,53;1,04;64;4,33;0,98;64;5,26;1,48;32;0,85;7,04;3;0;N
mopperig;2,69;0,85;64;4,22;1,14;63;3,73;1,37;63;8,29;2,49;32;-0,8;0,16;8;0,9;A
moralistisch;4,63;1,03;64;3,75;1,27;64;4,58;1,39;64;11,7;3,68;31;-0,94;0,11;12;0,4;A
moreel;4,92;0,95;64;3,83;1,11;64;4,88;0,98;64;10,32;3,6;32;0,83;6,77;6;0;A
morgen;4,53;0,82;64;3,89;1,11;64;3,98;0,93;64;4,1;1,37;32;2,63;423,6;6;0;N
mormel;2,53;0,87;64;4,19;1,21;64;3,38;1,63;64;8,45;2,38;32;0,46;2,9;6;0;N
mos;4,06;0,85;64;2,92;1,24;64;3,2;1,3;64;6,71;1,95;32;0,06;1,14;3;0;N
mossel;4;0,89;64;3,13;1,28;64;2,87;1,21;63;6,42;2,29;32;-0,28;0,53;6;0,4;N
mot;2,98;0,75;64;4,19;1,13;64;3,34;1,48;64;7,1;2,24;32;0,43;2,72;3;0;N
motel;3,89;0,86;64;3,48;1,38;64;3,61;0,9;64;9,71;2,87;32;1,21;16,14;5;0;N
motief;3,88;0,92;64;4,11;1,1;64;4,66;0,89;64;9,42;2,73;32;1,19;15,5;6;0;N
motor;4,3;0,83;64;4,98;1,36;64;4,88;1,18;64;5,61;1,58;32;1,63;42,63;5;0;N
mout;3,93;0,46;56;3,37;1,1;54;3,38;1,15;53;9;2,47;20;-0,94;0,11;4;17,9;N
mouw;4,16;0,54;64;3,13;1,07;63;3,66;1,06;64;5,1;1,83;32;0,62;4,18;4;0,4;N
muf;2,73;0,6;64;2,84;1,09;64;3,13;0,98;63;8,03;2,51;32;-0,24;0,57;3;0,4;A
mug;2,55;1,04;64;4,84;1,2;64;3,39;1,59;64;5,13;1,73;32;0,35;2,26;3;0;N
muil;2,84;0,78;64;3,98;1,2;64;4,28;1,19;64;6,68;2,23;32;0,27;1,88;4;0;N
muis;3,8;1,01;64;4,36;1,44;64;2,75;1,13;64;4,23;1,54;32;1,05;11,14;4;0;N
mummie;3,42;0,92;64;2,38;1,54;64;3,81;1,4;64;7;1,88;31;0,64;4,37;6;0,4;N
munt;4,48;0,89;64;3,45;1,27;64;4,13;1,05;64;5,68;1,94;32;1,04;10,89;4;0;N
murw;2,82;0,74;51;3,2;1,38;45;3,29;1,44;48;10,14;3,02;21;-0,32;0,48;4;26;A
mus;4,43;0,84;63;3,92;1,34;64;3,06;1,13;64;5,42;1,71;32;0,08;1,21;3;0,4;N
must;4,13;0,98;64;4,46;1,25;61;4,89;1,24;61;10,3;2,95;30;-0,49;0,32;4;3,1;N
muts;4,16;0,88;64;3,23;1,02;64;3,48;1,15;64;4,16;1,13;32;0,65;4,46;4;0;N
muur;3,91;0,64;64;2,81;1,37;64;4,48;1,26;64;4,77;1,86;32;1,83;66,89;4;0;N
muze;5,25;0,96;59;3,93;1,21;61;4,52;1,35;60;11,34;2,68;30;0,36;2,29;4;6,3;N
muziek;5,75;1,01;64;4,83;1,43;64;4,61;1,15;64;4,23;1,67;32;2,03;107,46;6;0;N
mystiek;4,89;0,95;63;3,64;1,37;64;4,66;1,21;62;10,35;3,36;32;0,04;1,1;7;1,3;N
naad;3,75;0,62;64;3,23;1,09;64;3,44;0,89;63;7,71;2,73;32;0,25;1,78;4;0,4;N
naaien;3,89;0,82;64;4,64;1;64;3,91;1,26;64;6,23;2,11;32;1,26;18,02;6;0;V
naaimachine;4,06;0,69;64;4,2;1,35;64;3,83;1,06;64;6,32;1,78;32;-0,41;0,39;11;0;N
naakt;4,63;1,15;64;4,8;1,49;64;4,05;1,48;64;6,26;2,34;32;1,49;30,55;5;0;A
naald;3,42;0,81;64;3,86;1,23;64;4,5;1,04;64;5,74;1,69;32;0,93;8,51;5;0;N
naam;4,44;0,71;63;3,48;1,23;64;4,19;1,14;64;3,68;1,42;32;2,67;470,6;4;0,4;N
naarstig;3,95;1,03;55;4,83;1,36;54;4,21;1,18;47;10;2,65;23;-0,8;0,16;8;19,7;A
naaste;5,19;0,96;64;3,77;1,05;64;4,48;1,17;64;8,16;2,63;32;0,54;3,48;6;0;N
nacht;4,47;0,99;64;2,86;1,41;64;4,19;1,15;64;4,39;2,09;32;2,31;204,44;5;0;N
nadeel;2,63;0,7;64;3,8;1,2;64;3,73;1,39;64;7,87;2,35;32;0,54;3,43;6;0;N
nadenkend;5;0,73;64;4,09;1,41;64;4,69;1,02;64;8,16;2,35;32;-0,44;0,37;9;0;A
nagel;3,83;0,66;64;3,36;1,09;64;3,73;1,07;64;5,32;1,92;32;0,61;4,05;5;0;N
naief;2,69;0,71;64;3,27;1,21;64;2,81;1,31;64;9,87;3,21;32;-0,26;0,55;5;0;A
nalatig;2,42;0,71;64;2,86;1,05;64;2,88;1,16;64;9,74;2,8;32;-0,11;0,78;7;0;A
namaak;2,98;0,81;64;3,4;1,21;63;2,94;1,11;64;7,58;2,22;32;0,46;2,9;6;0,4;N
nat;3,69;1,02;64;3,75;1,35;64;3,45;1,21;64;4,19;1,45;32;1,49;30,57;3;0;A
natuur;5,36;1,01;64;3,52;1,81;64;4,64;1,36;64;5,77;1,98;32;1,43;26,96;6;0;N
nauw;3,13;0,77;64;3,56;1,25;63;3,69;1,08;64;7,13;2,45;32;0,76;5,81;4;0,4;A
nauwgezet;4,48;1,02;64;4,09;1,29;64;4,59;1,18;64;10,06;2,57;32;0,13;1,35;9;0;A
nauwkeurig;5,2;0,72;64;4;1,18;64;4,84;1,2;64;7,94;2,28;32;0,64;4,37;10;0;A
navel;4,25;0,56;64;3,23;1,23;64;3,52;1,07;64;5,06;2,17;32;0,21;1,62;5;0;N
navolgend;3,75;0,85;64;3,73;1,21;63;3,14;1,45;64;9,81;3,13;32;-1,64;0,02;9;0,4;A
nectar;4,95;0,81;64;3,44;1,19;64;3,72;1,17;64;7,97;2,34;32;-0,07;0,85;6;0;N
nederig;3,55;1,28;64;2,81;0,87;64;2,59;1,48;64;9,45;2,78;32;0,55;3,52;7;0;A
neef;4,78;0,92;64;3,95;0,86;64;4,08;0,76;64;4,71;1,4;32;1,69;48,48;4;0;N
neerslachtig;2,28;0,7;64;2,83;1,21;63;2,81;1,27;64;9,71;2,89;32;-0,02;0,96;12;0,4;A
neger;3,44;1,22;63;4,08;1,24;64;4,36;1,36;64;7,61;2,65;32;1,18;15,07;5;0;N
negeren;2,45;0,71;64;3,19;1,54;64;4,11;1,61;64;7,42;2,06;32;1,21;16,37;7;0;V
neigen;3,81;0,85;64;4,14;1,04;64;3,75;1,05;64;9,47;2,46;31;-0,19;0,64;6;0,4;V
nek;4,13;0,58;64;3,55;1,28;64;3,8;0,95;64;4,87;1,89;32;1,76;57,72;3;0;N
nemen;4;0,76;64;4,72;0,86;64;4,44;0,99;64;4,65;1,52;32;2,59;391,29;5;0;V
nerveus;2,75;0,62;64;5,59;0,82;63;3,45;1,3;64;7,48;2,61;32;1,63;42,9;7;0,4;A
nervositeit;2,72;0,72;64;5,56;0,96;64;3,48;1,39;64;10,1;2,56;32;-0,34;0,46;11;0;N
nest;4,78;0,84;64;3,14;1,33;64;3,66;1,16;64;5,19;1,42;32;1,05;11,27;4;0;N
net;4,33;0,78;64;3,36;1,06;64;3,72;1,28;64;5,48;1,73;32;3;1005,36;3;0;N
netto;4,5;0,89;64;3,56;1,17;63;4,13;0,77;64;10,23;3,33;32;-0,19;0,64;5;0,4;N
neuken;4,31;1,71;64;6,44;0,8;63;5,08;1,5;64;10,55;2,06;32;1,72;52,94;6;0,4;V
neurotisch;2,2;0,74;64;4,97;1,45;64;3,68;1,6;63;12,73;3,63;31;0,16;1,44;10;0,9;A
neus;4,06;0,43;64;3,47;1,13;64;3,88;0,93;64;3,58;1,15;32;1,85;70,04;4;0;N
nevel;4,02;0,75;64;3;1,07;64;3,33;1,2;64;8,52;2,45;32;0,31;2,04;5;0;N
