Words;M V;SD V;N V;M A;SD A;N A;M P;SD  P;N P;M AoA;SD AoA;N AoA;Freq(Log10);Freq (1E6);Length;N (%);Grammatical category
stijgen;4,75;0,85;64;4,89;1,13;64;4,7;0,85;64;7,1;2,17;32;0,94;8,71;7;0;V
stijl;5;0,85;64;3,61;1,26;64;4,52;0,89;64;7,94;2,1;32;1,39;24,65;5;0;N
stikken;1,83;0,81;64;5,16;1,56;64;4,09;1,85;64;6,68;2,71;32;0,93;8,51;7;0;V
stil;4,13;0,95;64;1,84;0,93;64;3,31;1,32;64;3,97;1,33;32;2,21;160,81;4;0;A
stilstaand;3,42;0,77;64;1,89;0,91;64;3,23;0,89;64;7,48;1,93;32;-0,32;0,48;10;0;A
stinkdier;2,88;1,05;64;4,13;1,12;64;4,52;1,22;64;6,65;1,8;32;0,32;2,1;9;0;N
stinken;2,11;0,74;64;4,03;1,3;64;4,17;1,49;64;4,52;1,73;32;0,74;5,47;7;0;V
stip;4,13;0,49;64;3,28;1,15;64;3,52;1,07;64;4,9;1,8;32;0,19;1,56;4;0;N
stipt;4,97;0,85;64;4,14;1,15;64;4,64;0,91;64;7,23;2,25;32;0,47;2,95;5;0;A
stoeien;5;0,98;64;5,75;0,8;64;4,64;1;64;7,03;3,25;32;0,05;1,12;7;0;V
stoel;4,25;0,53;64;2,75;1,08;64;3,73;0,95;64;3,74;1,41;32;1,71;51,2;5;0;N
stoep;4,05;0,6;64;3,17;1,25;64;3,91;0,95;64;5,48;1,84;32;0,89;7,68;5;0;N
stoer;4,34;1,09;64;4,98;1,08;64;5,2;0,98;64;5,87;1,69;32;1,05;11,25;5;0;A
stoet;4,36;0,88;64;4,47;1,23;64;4,44;0,91;64;6,52;2,29;32;-0,04;0,91;5;0;N
stof;3,41;0,92;64;3,03;1,26;64;3,27;1,17;64;5,94;1,9;32;1,47;29,25;4;0;N
stok;3,83;0,58;64;3,28;1,36;64;4,08;1,1;64;4,29;1,19;32;1,16;14,48;4;0;N
stoken;2,92;0,91;64;5,06;0,98;63;4,36;1,23;64;7,57;2,46;31;0,3;1,99;6;0,9;V
stollen;3,75;0,71;64;3,8;1,36;64;4,05;1,08;63;9,84;3,18;32;-0,41;0,39;7;0,4;V
stolp;3,95;0,69;57;3,18;1,08;60;3,74;0,98;58;10,04;2,69;28;-0,74;0,18;5;9;N
stom;2,44;0,73;64;3,34;1,21;64;3,48;1,41;64;4,58;2,14;32;2,02;103,91;4;0;A
stomp;3,02;0,72;64;4,69;1,28;64;4,16;1,38;64;6,58;2,23;32;0,37;2,33;5;0;A
stoom;4,13;0,58;64;4,25;1,2;64;4,16;1,09;64;6,74;2,39;32;0,77;5,88;5;0;N
stoot;3,33;0,93;64;5,17;0,94;64;4,56;1,02;64;6,87;2,25;32;1,06;11,39;5;0;N
stop;3,36;0,72;64;3,35;1,53;63;4,58;1,26;64;3,81;1,74;32;2,48;301,97;4;0,4;N
stoppel;3,64;0,86;64;3,5;1,14;64;3,86;1,15;63;7,97;2,58;32;-1,34;0,05;7;0,4;N
stoppen;3,44;0,91;64;3,91;1,41;64;4;1,45;64;4,39;1,73;32;2,29;194,24;7;0;V
storen;2,78;0,6;64;4,84;0,95;64;4,22;1,16;64;6,58;2,47;32;1,34;22,04;6;0;V
storm;3,36;0,95;64;5,94;1,13;64;5,52;1,26;64;5,61;2,04;32;1,47;29,61;5;0;N
stormen;3,2;0,89;64;5,95;1,01;64;5,48;1,02;64;6,03;1,8;32;0,66;4,6;7;0;V
stort;2,91;0,87;64;3,88;1,32;64;4,02;1,16;61;7,65;2,74;32;1,06;11,53;5;1,3;N
stortbui;2,98;1,09;64;5,58;1,19;64;4,92;1,34;64;7,16;2;32;-0,46;0,34;8;0;N
storten;3,36;0,97;64;5,13;0,86;64;4,44;1,22;64;7,55;2,49;32;1;10,06;7;0;V
stoten;3,2;0,74;64;5,23;0,97;64;4,41;1,34;64;7,23;2,69;32;0,8;6,38;6;0;V
stout;3,16;0,98;64;4,95;1,03;64;4,23;1,23;64;3,42;1,15;32;1;10,02;5;0;A
stoutmoedig;4,16;1,26;63;5,06;1,08;63;4,81;1,29;62;10,03;3,54;31;-0,49;0,32;11;1,8;A
straal;4,13;0,65;64;4,02;1,34;64;4,3;1;64;7,03;2,56;32;0,86;7,27;6;0;N
straat;4,17;0,49;64;3,84;1,26;64;3,92;0,91;64;4,9;1,25;32;2;100,34;6;0;N
straf;2,36;0,82;64;4,78;1,09;64;5,31;1,07;64;4,52;1,77;32;1,55;35,45;5;0;N
straffen;2,3;0,75;64;5,38;0,88;64;4,95;1,43;64;5,26;2,22;32;1,13;13,58;8;0;V
strak;4,2;1,03;64;3,81;1,13;64;4,5;1,14;64;6,52;2;32;1,22;16,76;5;0;A
stralen;5,83;1,02;64;4,94;1,33;64;4,77;1,12;64;6,65;2,52;32;0,72;5,28;7;0;V
stralend;6,19;0,73;64;4,95;1,2;64;4,86;1,05;64;7,03;2,23;32;0,44;2,77;8;0;A
straling;3,09;1,28;64;4,75;1,39;64;5,06;1,18;64;9,13;2,91;32;0,93;8,46;8;0;N
stram;3,12;0,68;51;2,8;1,12;56;3,51;1,35;55;9,58;3,06;24;-0,86;0,14;5;16,6;A
stramien;3,86;0,91;57;3,02;1,38;49;4,33;1,23;49;10,95;2,44;20;-1,16;0,07;8;21,5;N
strand;5,73;1,01;64;2,94;1,25;64;4,16;0,93;64;4,74;1,53;32;1,6;40,16;6;0;N
stranden;4,08;1,4;64;3,58;1,43;64;3,59;1,22;64;7,35;3,27;32;0,4;2,49;8;0;V
streek;3,97;0,8;64;3,55;1,25;64;4,14;1,02;64;7,39;2,35;32;1,51;32,04;6;0;N
streep;3,94;0,43;64;3,25;1,25;64;3,81;1,15;64;5,03;1,7;32;0,82;6,63;6;0;N
strekken;4,25;0,53;64;4,42;1,14;64;4,16;0,84;64;6,42;2,22;32;0,55;3,52;8;0;V
strelen;5,63;0,68;64;4,34;1,48;64;3,88;1,18;64;6,84;2,52;32;0,42;2,65;7;0;V
streling;5,64;0,82;64;4,02;1,47;64;4,08;1,29;64;8,03;2,74;32;-0,36;0,43;8;0;N
streng;2,91;0,83;64;4,73;1,03;64;5,47;0,94;64;5,55;1,96;32;1,13;13,47;6;0;A
stress;2,36;0,91;64;5,97;1,04;64;4,47;1,62;64;8,97;2,71;32;1,14;13,86;6;0;N
streven;4,67;1,13;64;5,3;1,05;64;4,88;1,13;64;8,68;2,69;32;0,54;3,45;7;0;V
striem;2,71;0,8;62;3,8;1,36;64;4,19;1,21;62;9,19;2,76;32;-0,86;0,14;6;1,8;N
striemen;2,53;0,78;64;4,06;1,41;64;4,29;1,23;62;9,97;2,76;32;-0,15;0,71;8;0,9;N
strijd;3,13;0,98;64;5,91;1,09;64;5,39;1,3;64;6,29;1,92;32;1,65;44,73;6;0;N
strijden;3,53;1,13;64;5,86;1,04;64;5,39;1,05;64;7,32;2,56;32;0,87;7,45;8;0;V
strijk;3,67;0,89;64;3,94;1,21;64;3,63;1,04;63;6,97;2,07;31;0,25;1,76;6;0,4;N
strijken;3,42;0,75;64;4,38;1,2;64;3,61;0,87;64;6,23;1,84;32;0,66;4,6;8;0;V
strijkplank;3,7;0,68;64;3,49;1,27;63;3,52;0,99;64;6,26;2,21;32;-0,74;0,18;11;0,4;N
strik;4,33;0,78;64;3,3;1,32;64;3,89;1,07;64;5,13;1,59;32;0,31;2,04;5;0;N
strikken;3,91;0,92;64;4,45;1,11;64;4,17;1,08;64;6,55;2,23;32;0,45;2,84;8;0;V
strikt;3,41;0,79;64;3,95;1,16;64;4,77;1;64;8,26;2,35;32;0,78;6,06;6;0;A
strip;4,53;0,85;64;3,67;1,1;64;3,55;0,97;64;5,77;1,54;32;0,6;3,98;5;0;N
strippen;4,3;1,24;64;5,58;1,08;64;3,94;1,27;64;9;2,7;32;0,36;2,29;8;0;V
stro;4,23;0,77;64;2,75;1,04;64;3;1,25;64;5,74;1,83;32;0,25;1,78;4;0;N
stroef;2,88;0,55;64;3,33;1,14;64;4;1,24;63;8,74;3,25;32;-0,44;0,37;6;0,4;A
strofe;4,34;0,69;58;3,75;1,19;61;3,58;1;57;9,32;3,45;29;-0,74;0,18;6;8,5;N
stromen;4,27;0,84;64;4,55;1,27;64;4,48;1,25;64;6,77;1,96;32;0,77;5,83;7;0;V
stronk;4,11;0,59;64;2,92;1,09;64;4,33;1,18;61;7,35;2,09;32;-0,23;0,59;6;1,3;N
stront;1,98;0,9;64;3,53;1,39;64;4;1,58;64;5,74;1,5;32;1,44;27,51;6;0;N
strooien;4,2;0,65;64;4,61;0,87;64;3,63;0,92;64;6,48;2,25;32;0,21;1,62;8;0;V
strook;4;0,31;64;3,36;1,25;64;3,64;0,76;64;6,74;2,66;32;-0,18;0,66;6;0;N
stroom;4,31;0,89;64;4,81;1,15;64;4,67;1,27;64;7,03;3,12;32;1,48;29,87;6;0;N
stroop;4,03;0,94;64;3,28;1,06;64;3,86;1,18;63;6;1,84;32;0,43;2,68;6;0,4;N
strop;2,29;0,99;63;3,98;1,42;64;4,68;1,35;63;8,74;2,71;32;0,64;4,37;5;0,9;N
stropen;2,66;1,09;64;5,3;0,81;64;4,63;1,27;63;8,55;2,71;32;-0,06;0,87;7;0,4;V
strot;2,94;0,79;64;3,67;1,21;64;4,08;1,19;64;8,9;2,91;32;0,85;7,13;5;0;N
structuur;4,77;0,79;64;3,33;1,27;64;4,75;1,13;64;9,03;2,66;32;0,75;5,58;9;0;N
struik;4,27;0,65;64;3,02;1,15;64;3,59;0,94;64;5,29;1,68;32;0,43;2,7;6;0;N
struis;3,85;0,85;55;3,77;1,2;57;4,56;1,13;50;8,81;3,3;21;-1,64;0,02;6;17,9;A
student;5,25;0,98;64;5,06;1,13;64;4,27;1,22;64;8;2,27;32;1,23;17,15;7;0;N
stug;3,06;0,72;63;3,33;1,15;63;4,31;1,28;62;9,7;2,98;31;0,1;1,26;4;2,2;A
stuit;3,68;0,7;62;4,17;1,18;60;3,8;0,94;60;9,07;3,21;30;-0,11;0,78;5;5,4;N
stuiten;3,58;0,61;64;4,84;1,09;64;4,31;0,87;64;7,93;2,97;31;0,23;1,69;7;0,4;V
stuiver;4,19;0,73;64;3,47;1,33;64;3,44;1,07;63;6,41;2,87;30;0,54;3,5;7;1,3;N
stuk;3,22;1,03;64;3,45;1,46;64;3,72;1,2;64;4,9;1,64;32;2,24;175,67;4;0;N
stumper;2,79;0,67;52;3,46;1,09;46;2,73;1,31;51;8,16;3,87;26;0,17;1,49;7;22;N
stunt;4,5;1,01;64;5,58;1,02;64;4,88;1;64;7,32;2,43;32;0,8;6,38;5;0;N
sturen;4,3;0,61;64;4,59;1,06;64;4,42;0,96;64;5,39;1,5;32;1,97;92,66;6;0;V
stuur;4,17;0,42;64;4,02;1,11;64;4,02;1,12;64;5,45;2,32;32;2,06;115,57;5;0;N
subtiel;4,97;0,71;64;3,2;1,09;64;3,98;1,28;64;9,68;2,59;32;0,76;5,69;7;0;A
succes;6,09;0,79;64;5,33;0,94;64;5,56;0,92;64;6,77;1,73;32;2,02;103,64;6;0;N
suf;2,75;0,82;64;2,27;1,07;64;2,83;1;64;7,19;2,44;32;0,66;4,57;3;0;A
suiker;4,66;1,01;64;3,83;1,46;64;3,8;1,07;64;4,9;1,62;32;1,34;21,82;6;0;N
suite;5,44;0,99;64;3,33;1,4;64;4,57;1,01;63;9,61;2,96;32;0,95;9,01;5;0,4;N
suizen;3,11;0,72;64;4,17;1,2;64;4,08;1;63;8,43;2,54;31;-0,32;0,48;6;0,9;V
sukkel;2,31;0,75;64;3,38;1,25;64;2,94;1,63;64;6,65;1,74;32;1,61;41,03;6;0;N
sukkelig;2,72;0,72;64;3,21;1,14;63;2,45;1,17;64;7,68;2,39;32;-0,8;0,16;8;0,4;A
sultan;4,11;0,84;64;3,88;1,13;64;5,48;1,16;63;8,42;2,9;32;0,61;4,12;6;0,4;N
super;6,22;0,81;64;5,17;1,32;64;5,11;1,44;64;5,32;1,85;32;1,33;21,27;5;0;A
superieur;4,38;1,55;64;5,05;1,19;64;6,13;0,95;64;10,19;2,65;32;0,63;4,28;9;0;A
surfen;5;0,93;64;5,55;0,99;64;4,45;0,87;64;7,87;2,57;32;0,71;5,1;6;0;V
sussen;4,25;1,1;64;3,75;1,38;63;3,31;1,13;64;7,9;2,57;32;0,19;1,53;6;0,4;V
